LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=857327&DL=1000,Honda,77100.0,9410.0,05-Dec-2016,46400.0,2016,742.0,Auto,51857.0,23/10/2019,20173.0,20243.0,51506.0,2586.0,1597,1249.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=849625&DL=2954,Mercedes-Benz,75800.0,11080.0,15-Oct-2015,86000.0,2015,740.0,Auto,48680.0,23/10/2019,22896.0,19055.0,57498.0,1856.0,1595,1395.0,1.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=853431&DL=1000,Honda,68000.0,9900.0,03-Jun-2016,55000.0,2016,,Auto,40072.0,23/10/2019,27493.0,5000.0,54920.0,2400.0,1496,1280.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=824168&DL=1127,Audi,190800.0,21860.0,30-Sep-2016,28400.0,2016,1194.0,Auto,98207.0,23/10/2019,58999.0,78199.0,57002.0,2226.0,1984,2050.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=840138&DL=1104,Mercedes-Benz,65800.0,12160.0,01-Jul-2014,75300.0,2014,740.0,Auto,47612.0,23/10/2019,25401.0,17562.0,75300.0,1707.0,1595,1425.0,2.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=856874&DL=2469,Toyota,96800.0,11780.0,15-Aug-2016,,2016,1196.0,Auto,62384.0,23/10/2019,29372.0,33121.0,55100.0,2462.0,1986,1570.0,1.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=849582&DL=3588,Toyota,42800.0,8550.0,03-Sep-2009,102000.0,2009,974.0,Auto,,23/10/2019,21698.0,21698.0,,1825.0,1797,1340.0,3.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=855709&DL=1137,Honda,19800.0,8120.0,28-Apr-2007,,2006,989.0,Auto,12277.0,23/10/2019,17850.0,19635.0,25174.0,888.0,1668,1360.0,2.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=852056&DL=1001,Lexus,126800.0,15880.0,30-Dec-2015,63703.0,2015,1210.0,Auto,78805.0,23/10/2019,46467.0,57054.0,58190.0,2256.0,1998,1755.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=855937&DL=2624,Mercedes-Benz,92800.0,10860.0,31-May-2017,47888.0,2016,740.0,Auto,54820.0,23/10/2019,23830.0,20362.0,52000.0,2772.0,1595,1395.0,1.0,Hatchback
